P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
APHP	APLP	GH	0.0222862	0.654362	0.256439	0.0257899	372.024	118.277	113.12
APLP	APHP	GL	0.0514927	1.43419	0.0757594	0.0205415	407.925	120.956	109.109
APLP	APHP	MADHP	0.0382073	1.50273	0.0664537	0.014668	493.64	102.123	94.6065
APLP	APHP	MADLP	0.0312746	1.19755	0.115546	0.0119674	488.364	103.342	97.0743
APLP	APHP	OH	0.0327378	1.58731	0.0562207	0.0378449	483.394	105.03	98.371
APLP	APHP	OL	0.0442433	2.18908	0.0142954	0.029265	493.88	104.525	95.6676
APLP	APHP	TACHP	0.0270826	0.563865	0.286423	0.0137541	426.151	107.029	101.384
APLP	APHP	TACLP	0.0290072	0.604892	0.272625	0.0118373	425.792	106.821	100.798
GL	GH	APHP	0.12729	3.08502	0.00101771	0.149536	391.08	124.275	96.2097
GH	APHP	MADHP	0.02258	0.659549	0.254772	0.0158309	317.1	184.487	176.34
GH	APHP	MADLP	0.0330596	1.06878	0.142585	0.0230136	316.349	190.231	178.055
GH	APHP	OH	0.0115645	0.361874	0.358723	0.0249486	307.9	188.44	184.132
GH	APHP	OL	0.0172071	0.518056	0.30221	0.0210986	317.25	186.799	180.479
APHP	GH	TACHP	0.0659135	1.33736	0.0905525	0.0646016	245.039	210.905	184.821
APHP	GH	TACLP	0.0399229	0.817795	0.206737	0.0314158	250.075	205.81	190.008
GL	APHP	MADHP	0.0615715	1.24349	0.106843	0.0433444	302.771	198.224	175.23
GL	APHP	MADLP	0.0753959	1.61336	0.0533335	0.0529905	304.608	206.556	177.593
GL	APHP	OH	0.039495	0.835404	0.201745	0.0831596	292.818	201.423	186.117
GL	APHP	OL	0.0595054	1.26041	0.103761	0.0722601	304.667	202.281	179.56
TACHP	GL	APHP	0.0807939	1.61425	0.0532367	0.147418	238.496	215.058	182.905
TACLP	GL	APHP	0.0777358	1.46546	0.0713972	0.146832	232.777	221.839	189.837
MADHP	MADLP	APHP	0.036654	0.972038	0.165516	0.0221167	544.288	91.8521	85.3567
MADHP	OH	APHP	0.0386547	1.27813	0.100601	0.0447863	355.367	176.713	163.56
