-0.123377,-0.277319,-0.249994,-0.00496127,0.112955,0.196766,-0.00868768,0.26546,-0.0258513,0.154107,0.00556372,-0.0682581,-0.159302,0.0192541,-0.0380153,0.19072,-0.00145584,0.0450741,0.169119,0.223232	-0.72265,-0.621724,-0.678398,-0.474497,-0.650736,-0.476203,-0.488937,-0.548599,-0.581103,-0.223225,-0.45443,-0.232052,-0.621623,-0.385345,-0.654976,-0.480405,-0.59096,-0.61319,-0.317052,-0.320686	0.657933,0.416157,0.515899,0.470644,0.7114,0.615314,0.482298,0.710577,0.56372,0.364784,0.458833,0.16643,0.513135,0.401619,0.632714,0.614796,0.590011,0.64056,0.461429,0.507582
-0.18089,-0.350983,-0.194576,0.0557138,-0.0689236,0.227032,-0.00367224,0.0817842,-0.205034,0.0424278,-0.124576,-0.180134,-0.314792,-0.00748012,-0.0865397,0.191603,-0.0993251,-0.0182336,0.0457335,0.182644	-0.744661,-0.665161,-0.679181,-0.496102,-0.749173,-0.461493,-0.478166,-0.726924,-0.71695,-0.377438,-0.509644,-0.201575,-0.774747,-0.37504,-0.679411,-0.454086,-0.678364,-0.62694,-0.419275,-0.420606	0.651534,0.409865,0.558398,0.536974,0.717287,0.623228,0.475328,0.763328,0.600135,0.413248,0.411173,0.0222493,0.608314,0.368594,0.629908,0.594008,0.620872,0.615745,0.45626,0.560214
0.19718,0.084064,-0.107253,-0.0514655,0.0142515,0.000340683,0.00664111,0.10449,-0.0467919,-0.0509116,-0.0885212,-0.180673,0.00317643,-0.192091,-0.184774,0.117886,-0.162768,-0.127864,-0.189421,0.0189592	-0.627822,-0.517623,-0.641889,-0.489964,-0.704196,-0.766918,-0.60613,-0.814529,-0.683702,-0.626842,-0.671008,-0.687563,-0.430364,-0.660146,-0.859517,-0.701047,-0.76603,-0.733455,-0.793297,-0.619164	0.734122,0.576597,0.574164,0.449841,0.711309,0.767058,0.610314,0.846936,0.657959,0.594916,0.619271,0.578789,0.432949,0.536028,0.802136,0.75642,0.689194,0.668263,0.710666,0.63072
0.192522,0.0807287,-0.0635208,-0.0704754,0.0636239,-0.0054919,0.0755445,0.191046,-0.0384083,-0.0935542,-0.157525,-0.158172,0.0141614,-0.119395,-0.142956,0.114957,-0.195927,-0.107723,-0.135435,-0.0207929	-0.628554,-0.51934,-0.601698,-0.492761,-0.678042,-0.788735,-0.533471,-0.800994,-0.678367,-0.603065,-0.720131,-0.636042,-0.411143,-0.57366,-0.831102,-0.706145,-0.773335,-0.721951,-0.758142,-0.695275	0.732443,0.575923,0.559564,0.437478,0.710994,0.786651,0.585423,0.860379,0.657079,0.539976,0.634594,0.531323,0.422842,0.487666,0.780929,0.759452,0.680518,0.666025,0.693962,0.684376
0.108469,-0.0759042,-0.11199,-0.0322145,0.0779094,0.0860389,-0.0167638,0.142931,-0.0361638,-0.0329673,-0.119107,-0.16403,0.00286899,-0.0714198,-0.132736,0.058509,-0.15505,-0.122754,-0.0480611,0.0521411	-0.664846,-0.55893,-0.594665,-0.452042,-0.708652,-0.736117,-0.595017,-0.79012,-0.674145,-0.615694,-0.694802,-0.600087,-0.457446,-0.538741,-0.777911,-0.724386,-0.758112,-0.758783,-0.684968,-0.647146	0.721298,0.504426,0.517113,0.426031,0.745407,0.773186,0.584079,0.838371,0.653924,0.5948,0.627635,0.483665,0.459711,0.486022,0.719464,0.751062,0.683391,0.701355,0.658588,0.676461
0.121921,0.0250226,-0.0667639,-0.033457,0.0358348,-0.0121119,0.0233625,0.0894938,-0.032836,-0.0824079,-0.179171,-0.158359,-0.0200927,-0.112771,-0.181611,0.0500379,-0.168812,-0.120581,-0.0813552,0.0167057	-0.673999,-0.531671,-0.640205,-0.40018,-0.708423,-0.788687,-0.61477,-0.808576,-0.677579,-0.624047,-0.729907,-0.611484,-0.432463,-0.580074,-0.830213,-0.705082,-0.780409,-0.741079,-0.71574,-0.675026	0.735482,0.549384,0.599046,0.3717,0.725831,0.784065,0.629097,0.837468,0.659414,0.571003,0.633597,0.501708,0.415985,0.500012,0.763759,0.729387,0.704396,0.681387,0.673609,0.684018
0.113888,-0.284072,-0.425103,-0.166037,-0.250257,0.445955,0.129305,0.194987,-0.0130356,0.113489,-0.193661,0.175559,-0.31244,-0.0381093,-0.195638,0.15938,-0.0860603,-0.00842125,-0.0303737,0.141169	-0.626821,-0.650889,-0.698754,-0.472669,-0.823043,-0.401815,-0.533952,-0.723422,-0.673027,-0.17461,-0.679417,-0.13589,-0.784971,-0.716235,-0.781056,-0.440396,-0.668256,-0.538113,-0.640449,-0.612548	0.691355,0.450026,0.389287,0.332745,0.721368,0.718942,0.620421,0.804875,0.665833,0.282502,0.559354,0.304191,0.626081,0.697155,0.691007,0.560439,0.617721,0.532103,0.622179,0.693728
0.167133,-0.270141,-0.447291,-0.176013,-0.163099,0.441047,0.110614,0.21837,0.000630242,0.129193,-0.189638,0.157189,-0.304659,-0.016573,-0.272426,0.156339,-0.0137724,-0.00719607,-0.0686217,0.0238991	-0.631566,-0.645598,-0.689512,-0.45206,-0.787372,-0.475873,-0.543602,-0.710505,-0.659447,-0.160417,-0.668969,-0.0409875,-0.7803,-0.701838,-0.805214,-0.446228,-0.608735,-0.545303,-0.6671,-0.738249	0.722441,0.45477,0.35024,0.299909,0.716254,0.757859,0.61711,0.804114,0.659803,0.28373,0.548974,0.196907,0.623975,0.693329,0.682503,0.563272,0.599992,0.540227,0.627189,0.748934
0.759702,0.883539,0.827815,0.710254,0.82524,0.576037,0.78838,0.628721,0.573762,0.723819,0.630455,0.305376,0.284488,-0.146597,0.249348,0.364661,0.780053,0.731307,0.601924,0.693419	0.764341,0.876085,0.761623,0.562081,0.64242,0.649241,0.805836,0.192196,0.336509,0.583344,0.632142,0.43901,-0.0614442,-0.136369,0.0951336,0.411738,0.602191,0.736008,0.504118,0.556463	-0.0110621,0.0329908,0.179129,0.246634,0.389102,-0.116937,-0.0478633,0.496524,0.294022,0.243135,-0.00280499,-0.154323,0.339989,-0.0104361,0.157961,-0.0553939,0.335426,-0.0101816,0.140413,0.223006
-0.350168,-0.154698,-0.194156,0.0147364,0.0574565,-0.0276201,0.0842039,-0.129717,-0.0473909,0.0484178,0.187257,0.166315,-0.0833384,0.197006,0.0195767,0.0617086,0.126981,-0.129543,0.00718911,-0.304747	-0.207751,-0.282156,-0.324739,0.0101714,-0.0478771,-0.435056,-0.14983,-0.5744,-0.211279,-0.373395,-0.0905875,-0.340355,-0.0115932,-0.0732337,-0.403596,-0.300551,-0.19875,-0.324774,-0.589794,-0.554333	-0.153591,0.133276,0.13937,0.00456564,0.105045,0.412391,0.231118,0.480483,0.165545,0.414323,0.27321,0.479526,-0.0718146,0.266396,0.419856,0.355664,0.317712,0.203806,0.594462,0.300319
-0.345434,-0.1568,-0.192803,0.0341857,-0.0688307,-0.0748979,0.102544,-0.190072,-0.0361776,0.0513778,0.198934,0.117348,-0.0913768,0.0878393,-0.0535822,0.0569891,0.150235,-0.129486,-0.0155422,-0.17978	-0.201558,-0.285536,-0.294667,0.0534725,-0.144317,-0.512937,-0.0572684,-0.599092,-0.199724,-0.292988,-0.146368,-0.308909,0.00121137,-0.0707037,-0.395581,-0.316705,-0.199568,-0.302184,-0.549461,-0.548412	-0.154643,0.13477,0.108,-0.0193221,0.0762437,0.45554,0.15888,0.46158,0.164737,0.339259,0.335533,0.411346,-0.0925779,0.157564,0.349404,0.367069,0.339621,0.179731,0.538517,0.408952
-0.231803,0.133077,-0.129941,-0.169207,0.0638088,-0.173672,0.13617,-0.15372,0.0627869,0.0653356,0.196665,0.157206,-0.118452,0.071221,-0.130093,0.0281774,0.135011,-0.0706014,0.00324107,-0.265902	-0.204933,0.0294723,-0.123402,-0.125002,-0.0631069,-0.510167,-0.054233,-0.561679,-0.0910667,-0.341639,-0.118282,-0.233868,-0.0963818,-0.0765092,-0.363907,-0.35392,-0.189128,-0.323797,-0.446797,-0.575141	-0.0282106,0.104013,-0.00664559,-0.0451599,0.126407,0.369207,0.189007,0.446512,0.152979,0.398088,0.307787,0.377206,-0.0223247,0.14693,0.245433,0.378324,0.316068,0.25912,0.449387,0.36507
-0.29411,-0.0462627,-0.193294,-0.169631,0.079422,-0.115253,0.0542752,-0.171094,-0.0119149,0.066742,0.227397,0.13881,-0.089966,0.132775,-0.0757382,0.0562406,0.232781,-0.133511,-0.00753207,-0.210836	-0.22927,-0.171169,-0.317609,-0.0424324,-0.0145854,-0.535384,-0.187498,-0.580066,-0.179158,-0.328854,-0.141273,-0.261986,-0.00263836,-0.0541623,-0.412175,-0.283794,-0.180715,-0.339181,-0.499163,-0.562648	-0.0695283,0.125903,0.132446,-0.128121,0.0938986,0.447761,0.239338,0.454033,0.167601,0.387099,0.357195,0.386732,-0.0873483,0.185603,0.347278,0.334692,0.396804,0.215425,0.493487,0.399163
-0.0825666,0.630804,0.296062,-0.136091,0.176578,-0.363393,0.102717,-0.119847,0.00217549,-0.129039,0.241316,-0.0664781,0.272075,0.0585908,0.0107316,-0.142056,0.140162,-0.0312544,0.28122,-0.0690997	0.0640609,0.566819,0.461046,0.0336413,-0.0853097,-0.330846,-0.0344205,-0.43351,-0.189752,-0.0402265,-0.0292238,-0.120867,-0.113292,-0.416396,-0.228515,-0.0620764,0.0190224,0.102223,-0.217208,-0.418548	-0.145856,0.0995961,-0.191064,-0.168959,0.258002,-0.0369945,0.136655,0.330852,0.191848,-0.0892759,0.268645,0.0548292,0.373844,0.463674,0.238662,-0.0806908,0.121464,-0.133052,0.469735,0.359856
