0.197527,0.158231,0.335747,0.0971453,0.124834,0.0764113,0.0569125,0.176605,0.106301,0.0587868,0.15616,0.121406,0.0859947,0.0771212,-0.102038,0.0243843,0.00779053,0.0956091,0.114249,0.0106707	-0.288587,-0.174851,0.0241386,-0.22513,-0.207775,-0.166795,-0.216352,-0.233754,-0.348628,-0.334106,-0.219284,-0.341458,-0.466952,-0.418602,-0.532479,-0.488144,-0.460328,-0.403617,-0.426667,-0.523957	0.459898,0.324114,0.314155,0.315378,0.3242,0.240146,0.26994,0.39409,0.438672,0.385325,0.363013,0.44444,0.5316,0.480221,0.455172,0.506499,0.466446,0.480677,0.515774,0.531655
0.138645,0.14527,0.248949,0.0850335,0.150148,0.0942946,0.05693,0.17776,0.0765427,0.0660662,0.149618,0.164001,0.094904,0.0928147,-0.116535,0.0296237,-0.00336337,0.096841,0.122195,0.00333407	-0.29502,-0.218293,-0.0686072,-0.205464,-0.174715,-0.100131,-0.206962,-0.225037,-0.334648,-0.354551,-0.229412,-0.303675,-0.480003,-0.385158,-0.531938,-0.500697,-0.460638,-0.389795,-0.415245,-0.54596	0.416623,0.352388,0.312224,0.285509,0.316559,0.192607,0.260819,0.387304,0.400921,0.410991,0.366451,0.445489,0.549859,0.461476,0.442855,0.52257,0.457985,0.468934,0.511487,0.548296
-0.224958,-0.300068,-0.534669,-0.0426507,-0.00615919,-0.10264,-0.103735,-0.0691975,-0.0221471,0.0566571,-0.0425863,0.0344516,-0.0661112,-0.0859908,-0.0477442,0.0189734,-0.081351,-0.0596673,-0.0106793,-0.0237367	-0.708866,-0.715058,-0.689977,-0.550304,-0.494935,-0.548024,-0.46792,-0.566864,-0.533478,-0.579211,-0.603822,-0.478713,-0.658698,-0.692358,-0.610057,-0.655354,-0.568153,-0.680116,-0.628329,-0.697816	0.575714,0.528358,0.246095,0.519855,0.49027,0.471929,0.382765,0.517985,0.517444,0.615665,0.576049,0.504838,0.619568,0.644754,0.579182,0.666046,0.510392,0.646692,0.621822,0.685433
-0.231902,-0.302933,-0.511997,-0.0495538,-0.0187662,-0.10351,-0.10504,-0.0741484,-0.0282601,0.0624341,-0.0506298,0.0225859,-0.0494107,-0.092691,-0.0398076,0.0218537,-0.0819998,-0.06099,-0.014721,-0.0245219	-0.718143,-0.713718,-0.677426,-0.54397,-0.511605,-0.551589,-0.481772,-0.584322,-0.545199,-0.583543,-0.603563,-0.481679,-0.651531,-0.698011,-0.604193,-0.654237,-0.566984,-0.680838,-0.630132,-0.696853	0.5834,0.5241,0.253275,0.508113,0.497616,0.475211,0.396813,0.533279,0.525029,0.62327,0.570362,0.498838,0.622149,0.647193,0.578295,0.666561,0.508631,0.646701,0.621174,0.684019
-0.180312,-0.19732,-0.500158,-0.0350709,-0.043847,-0.0733153,-0.0975563,-0.0633286,-0.0381068,0.0329014,-0.0486337,0.021503,-0.0411199,-0.0777797,-0.0747738,0.0117139,-0.0806399,-0.0467438,-0.0135047,-0.0131835	-0.705923,-0.679534,-0.686662,-0.556228,-0.544254,-0.53766,-0.469705,-0.58437,-0.537034,-0.561995,-0.602441,-0.495397,-0.653078,-0.694448,-0.629657,-0.653543,-0.58226,-0.688304,-0.62063,-0.690684	0.602272,0.556884,0.284062,0.531526,0.512641,0.483399,0.39002,0.541064,0.50935,0.584096,0.570523,0.511452,0.628845,0.651879,0.582299,0.660203,0.526333,0.662888,0.612257,0.683726
-0.226521,-0.283954,-0.512012,-0.0316352,-0.0395621,-0.0791412,-0.105372,-0.0774171,-0.0354713,0.0451953,-0.0455438,0.0135081,-0.0412701,-0.0818884,-0.0517717,0.0142936,-0.0784112,-0.0556436,-0.0175541,-0.00705897	-0.711736,-0.704425,-0.676234,-0.549775,-0.536627,-0.546282,-0.477362,-0.583005,-0.53687,-0.557919,-0.596012,-0.49101,-0.649734,-0.700212,-0.609491,-0.653912,-0.571135,-0.683157,-0.620492,-0.687365	0.578479,0.525604,0.251195,0.52731,0.507847,0.488249,0.391693,0.529486,0.511132,0.588281,0.565827,0.501194,0.625229,0.655934,0.575891,0.662018,0.515824,0.652309,0.609577,0.683623
0.0826692,0.219344,0.0898987,0.117167,0.0936075,0.157761,0.129026,0.136439,0.0630909,0.0402973,0.177557,0.0915993,0.0783996,0.120599,0.0972377,0.0263299,0.07094,0.0769419,0.0585318,-0.00303324	-0.493111,-0.22701,-0.328672,-0.361063,-0.251699,-0.210994,-0.248714,-0.185798,-0.310421,-0.329445,-0.235251,-0.402444,-0.506004,-0.471132,-0.443263,-0.567065,-0.446786,-0.414085,-0.450083,-0.520397	0.553227,0.425183,0.406558,0.45882,0.337358,0.356876,0.365995,0.31427,0.366337,0.364898,0.396256,0.476479,0.562104,0.559918,0.518166,0.584665,0.501821,0.475865,0.495559,0.518181
0.0866414,0.266505,0.106982,0.110206,0.110333,0.133957,0.133545,0.149648,0.0708601,0.0321012,0.180182,0.0913725,0.0737059,0.12529,0.110452,0.0272647,0.0853715,0.0661848,0.0658391,-0.0114694	-0.449415,-0.161618,-0.286809,-0.371928,-0.229711,-0.250407,-0.254096,-0.192231,-0.329741,-0.343378,-0.214028,-0.401743,-0.494941,-0.482239,-0.426013,-0.560252,-0.436984,-0.422606,-0.443025,-0.534983	0.515966,0.410445,0.382068,0.463151,0.331638,0.371889,0.374918,0.332319,0.391455,0.371385,0.379572,0.475655,0.548632,0.572914,0.512356,0.578677,0.50357,0.475491,0.494442,0.526746
0.595402,0.618653,0.446755,0.660622,0.67914,0.667841,0.576585,0.496847,0.435851,0.661049,0.688559,0.711357,0.542514,0.666429,0.718896,0.743839,0.745415,0.737017,0.826121,0.82722	0.662275,0.569657,0.409341,0.714413,0.703611,0.751988,0.595809,0.512232,0.50438,0.61241,0.677087,0.724973,0.498135,0.724686,0.73786,0.704895,0.757025,0.763925,0.837821,0.769638	-0.110411,0.07566,0.0457878,-0.101869,-0.046865,-0.169042,-0.0292834,-0.0206378,-0.0878388,0.0817233,0.0214923,-0.0281153,0.0608135,-0.112672,-0.0403859,0.0818723,-0.0266464,-0.0615768,-0.038004,0.158481
-0.159162,-0.142912,-0.340917,-0.0822642,-0.0847662,-0.0913115,0.0119194,0.00535498,-0.0915028,-0.0335777,0.00287041,-0.171445,-0.0206143,0.0234928,-0.113694,-0.00913402,-0.134297,0.0165772,-0.0861061,0.0121623	-0.48044,-0.542728,-0.462288,-0.373492,-0.338748,-0.40056,-0.169823,-0.262528,-0.246749,-0.377963,-0.368995,-0.269388,-0.262923,-0.349784,-0.292417,-0.286697,-0.259614,-0.338135,-0.31764,-0.322434	0.347879,0.433435,0.144077,0.300459,0.26149,0.320989,0.181375,0.267506,0.158833,0.348812,0.371472,0.102686,0.243629,0.370234,0.184869,0.278292,0.129844,0.352735,0.238045,0.333289
