P1	P2	P3	Dstatistic	Z.score	p.value	f4.ratio	BBAA	ABBA	BABA	bonferroni
OH	OL	MADLP	0.142503	29.1227	0	0.2039	127179	176507	132476	0
OH	OL	MADHP	0.140817	28.5862	0	0.183999	126698	176428	132873	0
APHP	GL	TACHP	0.144326	22.1082	0	0.141938	135633	170234	127293	0
APHP	APLP	GH	0.122574	24.8964	0	0.139841	202541	128627	100537	0
TACLP	APHP	OH	0.0985201	19.8524	0	0.135646	229083	138010	113255	0
TACHP	APHP	OH	0.0984044	21.1587	0	0.135354	229216	137819	113125	0
TACHP	APHP	OL	0.113693	23.8112	0	0.124056	231818	139068	110674	0
TACLP	APHP	OL	0.11281	22.2034	0	0.123345	231552	139126	110919	0
APHP	GH	TACHP	0.122255	26.1263	0	0.119944	137574	166574	130282	0
APHP	GL	TACLP	0.14341	20.9508	0	0.103523	136089	170092	127425	0
TACLP	GH	OH	0.0713027	15.7051	0	0.0881857	256301	120903	104809	0
TACHP	GH	OH	0.0713067	17.0576	0	0.0878824	256792	120442	104409	0
APHP	GH	TACLP	0.120161	24.7596	0	0.0865349	138187	166236	130571	0
APLP	GL	TACHP	0.0848607	12.3767	0	0.0835074	147084	151218	127560	0
TACLP	APLP	OH	0.0637458	11.7636	0	0.0825633	245610	125719	110651	0
TACHP	APLP	OH	0.063628	12.954	0	0.0822562	245799	125431	110424	0
MADLP	MADHP	OH	0.00531802	1.93215	0.0266704	0.0815761	256786	83062.2	82183.4	0.0326576326530612
TACLP	GL	OH	0.0670597	13.5837	0	0.0811646	261531	117849	103036	0
TACHP	GL	OH	0.0669927	14.2158	0	0.0808585	261757	117476	102724	0
APHP	APLP	GL	0.132413	24.3035	0	0.0795697	200772	130285	99816.2	0
TACHP	APLP	OL	0.0744918	14.6286	0	0.0762346	248821	125843	108394	0
TACHP	APHP	MADLP	0.121327	24.0577	0	0.076108	233620	139283	109142	0
TACHP	GH	OL	0.0778335	17.358	0	0.0758412	260268	120191	102832	0
TACLP	APHP	MADLP	0.120447	22.3489	0	0.0756714	233332	139320	109366	0
TACLP	APLP	OL	0.0735547	13.2518	0	0.0754851	248477	125975	108712	0
TACLP	GH	OL	0.0766843	15.8612	0	0.0750905	259678	120553	103381	0
TACHP	APHP	MADHP	0.119776	23.5586	0	0.0714241	233328	139250	109460	0
TACLP	APHP	MADHP	0.11951	21.8069	0	0.0713508	233121	139368	109612	0
TACHP	GL	OL	0.07354	14.6877	0	0.0701993	265293	117276	101209	0
TACLP	GL	OL	0.0724472	13.6706	0	0.0694443	264963	117544	101663	0
APHP	APLP	TACHP	0.087285	21.9079	0	0.0637363	210117	120105	100822	0
APLP	GH	TACHP	0.0607094	11.3389	0	0.0600453	147674	148585	131576	0
