Recipient APHP_F1 APHP_F10 APHP_F2 APHP_F3 APHP_F4 APHP_F5 APHP_F6 APHP_F7 APHP_F8 APHP_F9 APHP_M1 APHP_M10 APHP_M2 APHP_M3 APHP_M5 APHP_M6 APHP_M7 APHP_M8 APHP_M9 APLP_F1 APLP_F10 APLP_F2 APLP_F3 APLP_F4 APLP_F5 APLP_F6 APLP_F7 APLP_F8 APLP_M1 APLP_M10 APLP_M2 APLP_M3 APLP_M4 APLP_M5 APLP_M6 APLP_M7 APLP_M8 APLP_M9 GH1 GH10 GH11 GH12 GH13 GH14 GH15 GH17 GH18 GH19 GH2 GH20 GH3 GH4 GH5 GH6 GH7 GH8 GH9 GL1 GL10 GL11 GL12 GL13 GL14 GL15 GL16 GL17 GL18 GL19 GL2 GL20 GL5 GL6 GL7 GL8 GL9 LMD_F11 LMD_F12 LMD_F13 LMD_F14 LMD_F15 LMD_F16 LMD_F17 LMD_F19 LMD_F20 LMD_F21 LMD_M08 LMD_M09 LMD_M1 LMD_M10 LMD_M2 LMD_M3 LMD_M4 LMD_M5 LMD_M6 LMD_M7 LO1 LO10 LO11 LO12 LO13 LO15 LO16 LO17 LO18 LO19 LO2 LO20 LO21 LO22 LO3 LO4 LO5 LO6 LO7 LT_F16 LT_F18 LT_F19 LT_F23 LT_F24 LT_M1 LT_M11 LT_M12 LT_M14 LT_M15 LT_M5 LT_M8 UMD_F09 UMD_F10 UMD_F11 UMD_F12 UMD_F13 UMD_F14 UMD_F15 UMD_F16 UMD_M1 UMD_M2 UMD_M3 UMD_M4 UMD_M5 UMD_M6 UMD_M7 UMD_M8 UQ1 UQ10 UQ11 UQ12 UQ13 UQ14 UQ15 UQ16 UQ17 UQ18 UQ19 UQ2 UQ20 UQ3 UQ4 UQ5 UQ6 UQ7 UQ8 UQ9 UT_F11 UT_F14 UT_F15 UT_F16 UT_F18 UT_F19 UT_F21 UT_M10 UT_M2 UT_M3 UT_M4 UT_M7 UT_M8 UT_M9
APHP_F1 0 9.565859 8.675664 9.047532 7.910641 10.012921 8.251218 8.809959 8.424001 9.133013 8.383515 9.093895 8.12491 8.204765 8.870873 8.521621 9.520689 8.712282 8.38575 9.922982 9.928121 9.55855 9.915675 10.585225 9.234078 10.29766 9.94807 10.344442 10.305406 9.581834 9.996262 10.499492 10.75912 10.702562 10.572465 10.366733 10.222019 8.805917 5.164998 5.074879 5.317058 4.961209 5.395777 5.233348 5.119169 5.143385 5.070919 5.352988 5.101932 5.163871 5.108388 5.054375 5.014053 5.349109 5.377284 4.99984 4.942571 4.535028 4.524946 4.545538 4.490173 4.582834 4.562984 4.53212 4.542391 4.528088 4.503718 4.543767 4.53284 4.533971 4.541409 4.582304 4.486329 4.527265 4.531526 3.627914 3.610484 3.66016 3.60072 3.592153 3.700815 3.62999 3.70557 3.80739 3.601683 3.624036 3.606327 3.671035 3.642774 3.625788 3.626088 3.751582 3.593918 3.628881 3.620803 4.402487 4.450687 4.555024 4.562174 4.594823 4.316231 4.310802 4.517651 4.657084 4.413018 4.59934 4.381698 4.258414 4.337335 4.719881 4.451308 4.447885 4.500531 4.261634 5.137677 5.094057 5.116595 5.117405 5.065343 5.104824 5.073029 5.077252 5.090947 5.110407 5.064522 5.086302 3.662807 3.698279 3.735565 3.72434 3.743564 3.705318 3.718833 3.676813 3.660108 3.735415 3.737103 3.684248 3.689318 3.71112 3.682962 3.686029 4.170457 4.284268 4.233101 4.237009 4.420425 4.173392 4.164693 4.313966 4.303272 4.367054 4.346486 4.275202 4.292301 4.315036 4.240975 4.259963 4.256249 4.372999 4.320541 4.327459 4.856182 4.855298 4.848525 4.853974 4.851411 4.851101 4.855286 4.85522 4.855877 4.863812 4.853129 4.843038 4.863629 4.863292
APHP_F10 9.860767 0 8.524115 8.951841 7.937046 9.498548 8.750114 8.16108 9.300014 8.979911 9.0869 8.952308 7.930399 8.610898 8.570322 8.143878 9.814417 9.332828 8.717434 8.862162 8.691066 9.147227 8.961943 9.825077 7.93771 10.051836 8.65441 9.472828 9.707834 9.595221 9.668803 9.520853 9.447866 9.625979 9.072712 8.676678 8.804355 8.593251 5.448361 5.449377 5.594221 5.251721 5.811917 5.615851 5.409741 5.468715 5.416513 5.656081 5.424128 5.439956 5.433757 5.422407 5.368934 5.629954 5.618699 5.345769 5.245832 4.821203 4.812131 4.83075 4.774011 4.881812 4.880836 4.835134 4.823551 4.805597 4.766945 4.820618 4.805611 4.815544 4.807943 4.906926 4.772558 4.836696 4.816152 3.613131 3.648668 3.644879 3.626507 3.637001 3.744762 3.632078 3.674814 3.744107 3.628214 3.631047 3.629604 3.627249 3.62807 3.622516 3.642332 3.69977 3.616855 3.66329 3.622403 4.434985 4.56659 4.666835 4.57243 4.619805 4.396115 4.279156 4.433619 4.65365 4.478811 4.597248 4.40828 4.238729 4.368492 4.805968 4.484441 4.422284 4.524052 4.396048 5.354214 5.365999 5.388906 5.337281 5.303239 5.320169 5.376257 5.39672 5.395672 5.407239 5.344891 5.345534 3.667487 3.677592 3.719792 3.681497 3.692628 3.680949 3.676736 3.659954 3.680233 3.717461 3.703133 3.634073 3.67795 3.663674 3.684824 3.691985 4.071834 4.075358 4.180527 4.174117 4.288889 4.124756 4.092453 4.233745 4.170748 4.208225 4.384244 4.139552 4.26586 4.226042 4.169111 4.24441 4.20167 4.197083 4.259002 4.221111 5.049035 5.033051 5.057256 5.042511 5.043585 5.048554 5.05127 5.041931 5.055073 5.06698 5.042938 5.031746 5.049876 5.048952
APHP_F2 8.736195 8.251704 0 8.371771 8.109316 11.864308 8.190985 8.530651 8.600061 8.352561 8.692188 8.806835 7.90797 8.194374 8.715182 8.070729 8.177355 8.688707 7.875193 8.69907 8.357984 8.541835 8.684619 8.80764 8.365043 8.824259 9.186553 8.634901 8.217775 8.44067 8.845088 9.099809 9.203569 9.189706 9.007466 9.08154 8.855042 8.466277 5.908827 5.743806 5.678513 5.775314 5.794497 5.827451 5.812453 5.772728 5.546185 5.981008 5.645336 5.725156 5.624199 5.67982 5.819792 5.891652 5.903906 5.678506 5.440845 5.074878 5.066882 5.097686 4.899462 5.254773 5.275374 5.088996 5.076612 5.070212 4.907536 5.062528 5.063663 5.078625 5.07679 5.278789 4.882629 5.085696 5.054214 3.527972 3.529497 3.551587 3.522121 3.532273 3.626351 3.52743 3.559081 3.662049 3.499891 3.532552 3.560392 3.561344 3.533714 3.522357 3.546484 3.615638 3.541384 3.563733 3.558871 4.372612 4.532279 4.80195 4.646853 4.535708 4.336077 4.19019 4.394363 4.697504 4.320856 4.664815 4.33134 4.218396 4.246296 5.044866 4.61085 4.336394 4.519934 4.281192 5.750254 5.667134 5.671545 5.750434 5.598767 5.673975 5.610985 5.675401 5.744735 5.797128 5.696429 5.720118 3.567891 3.598393 3.631275 3.632756 3.599697 3.601334 3.597484 3.573714 3.560056 3.583371 3.602431 3.577334 3.610975 3.571028 3.6142 3.571095 3.993958 4.147782 4.123239 4.031771 4.152183 4.073642 4.085373 4.113193 4.110968 4.101505 4.259084 4.081928 4.264975 4.140993 4.087993 4.114932 3.964777 4.117884 4.081425 4.103287 5.353928 5.367182 5.353814 5.364766 5.366638 5.351488 5.325404 5.350607 5.357055 5.365929 5.371134 5.364084 5.350917 5.3778
APHP_F3 9.201652 8.706933 8.433846 0 7.878169 8.896822 7.867992 8.40957 8.614596 8.721589 8.656046 8.556676 7.954437 8.616865 8.903457 8.151147 8.768307 8.750153 8.064632 8.893462 8.591113 8.80344 8.787837 9.302675 8.20947 9.394319 8.701909 9.113909 9.092923 8.879365 9.14106 9.520191 9.290716 9.445929 9.110068 9.174315 8.732158 8.509555 5.693997 5.83826 5.928228 5.585041 6.058552 6.094635 5.734997 5.75645 5.621671 5.996437 5.863978 5.827572 5.8739 5.717781 5.688589 6.132982 5.867939 5.70552 5.510097 5.110883 5.105063 5.102215 5.018154 5.190895 5.182588 5.10468 5.108494 5.094031 5.012186 5.108718 5.102825 5.100357 5.111796 5.219789 5.02854 5.110649 5.11211 3.53089 3.611786 3.574456 3.525657 3.532961 3.654817 3.54268 3.638569 3.710408 3.604008 3.544445 3.558425 3.591312 3.559874 3.536609 3.573209 3.662214 3.542087 3.553285 3.546254 4.409087 4.518907 4.619113 4.526343 4.53374 4.335317 4.249631 4.401696 4.573489 4.338389 4.635548 4.343821 4.214974 4.26065 4.812396 4.559745 4.392434 4.488704 4.309048 5.496509 5.47472 5.491272 5.48192 5.445596 5.422924 5.481487 5.46089 5.507585 5.523199 5.552766 5.446957 3.602319 3.61835 3.640844 3.622206 3.622517 3.610529 3.60814 3.614113 3.597674 3.655984 3.643465 3.602875 3.587529 3.618722 3.605018 3.601764 3.985327 4.058537 4.065345 4.111518 4.177033 4.047395 4.030623 4.105341 4.129423 4.164741 4.268124 4.038695 4.160534 4.143615 4.09705 4.165805 4.013034 4.140375 4.078535 4.093648 5.167124 5.167183 5.165843 5.1727 5.166926 5.169561 5.18218 5.168153 5.167767 5.168953 5.16581 5.168322 5.174077 5.166993
APHP_F4 8.116212 7.899152 8.310269 7.987342 0 8.226526 7.593803 8.163504 7.858793 8.280021 8.236857 7.999482 7.863002 7.959142 8.175031 7.537691 7.678344 8.188532 7.389887 8.002122 8.084935 8.463767 8.402896 8.240566 7.980421 8.471772 8.736686 8.189683 8.160452 7.938526 7.917616 8.488132 8.53977 8.523443 8.240273 8.300119 8.308144 7.783635 6.166948 6.04107 5.699331 6.003844 5.876853 5.994729 5.908325 5.918416 5.660545 6.058124 5.841978 6.066384 5.903836 6.056202 6.070314 6.022571 5.957198 5.924986 5.58106 5.327622 5.297256 5.320547 5.072704 5.534474 5.535695 5.329699 5.327457 5.306457 5.078586 5.304344 5.361578 5.301479 5.328125 5.552749 5.088504 5.308982 5.31687 3.747247 3.720082 3.766604 3.714863 3.734797 3.828842 3.745732 3.813712 3.892533 3.717045 3.735184 3.733805 3.740917 3.746308 3.733644 3.764235 3.875286 3.720843 3.741321 3.731218 4.626216 4.857791 5.116172 5.030969 4.78236 4.52897 4.422745 4.581155 4.945395 4.554344 4.727629 4.598779 4.470622 4.525542 5.201371 4.626393 4.561864 4.69258 4.57116 5.558925 5.452397 5.542344 5.551216 5.496578 5.500085 5.519493 5.461342 5.608611 5.510289 5.57654 5.538812 3.775229 3.805077 3.833426 3.8058 3.792561 3.812288 3.827862 3.925868 3.813698 3.847418 3.83105 3.789712 3.799802 3.788594 3.804964 3.833673 4.273137 4.291476 4.323233 4.322508 4.408155 4.301112 4.283399 4.340207 4.338341 4.356094 4.471506 4.325044 4.395759 4.320701 4.31848 4.396303 4.299533 4.324044 4.320484 4.348568 5.215537 5.22801 5.203524 5.229581 5.208012 5.205939 5.217088 5.206679 5.206964 5.213715 5.208875 5.227572 5.21623 5.210914
APHP_F5 10.057514 9.277805 11.883218 8.799424 8.03942 0 8.488792 8.85826 8.326437 8.640378 8.680857 9.164252 8.477686 8.345616 8.901359 8.524455 9.589401 9.121422 8.945999 10.073546 10.20096 9.611863 9.754604 10.87676 9.262748 10.532585 10.134735 10.524863 10.629647 10.199397 10.433554 10.462347 11.095817 10.290309 10.488371 9.968822 9.859559 9.013147 5.56319 5.497554 5.648023 5.461883 5.815159 5.723384 5.46684 5.531828 5.581614 5.682836 5.617908 5.669061 5.503243 5.492407 5.443911 5.725813 5.700514 5.456327 5.350913 4.910087 4.90076 4.895983 4.835181 4.919501 4.910946 4.898605 4.877062 4.868971 4.864806 4.873977 4.900696 4.869851 4.910266 4.91415 4.854508 4.88674 4.896387 3.347699 3.34638 3.40357 3.349498 3.358125 3.478608 3.372587 3.406506 3.494818 3.372403 3.360649 3.383752 3.372384 3.368525 3.336315 3.370456 3.428187 3.368862 3.392778 3.358159 4.037944 4.19268 4.28838 4.191657 4.240984 4.08809 3.947106 4.146693 4.363669 4.097046 4.306634 4.040053 3.961441 4.008062 4.493311 4.223563 4.109772 4.205051 4.09858 5.2236 5.215663 5.177242 5.204641 5.158306 5.202592 5.290336 5.25183 5.286912 5.260801 5.25261 5.209807 3.407953 3.410837 3.462704 3.43769 3.428016 3.444752 3.439391 3.435374 3.424848 3.435651 3.447049 3.406602 3.42342 3.414135 3.435892 3.458149 3.796283 3.818541 3.82705 3.861205 3.971826 3.836675 3.769737 3.855408 3.864692 3.942378 4.01726 3.780544 3.90661 3.890887 3.868091 3.912882 3.786259 3.91349 3.841707 3.86024 4.946949 4.941575 4.943419 4.948692 4.956611 4.945845 4.963876 4.953551 4.955028 4.963843 4.949518 4.940406 4.962234 4.961136
APHP_F6 8.557211 8.831475 8.428665 8.053314 7.743098 8.803669 0 8.371411 8.410875 8.593143 8.492426 8.115871 7.683045 8.41724 8.663546 8.073244 8.395879 8.637542 8.083655 8.652352 8.399387 8.71718 8.883283 8.89393 8.331136 8.995002 9.159157 8.70411 8.749165 8.370879 8.965285 9.335038 9.229198 9.588055 8.989672 8.822213 8.862052 8.417039 6.007633 5.719216 5.857371 5.548547 5.684563 5.774921 5.754106 5.713828 5.852687 5.802929 5.7443 5.678688 5.671641 5.631005 5.650712 5.766575 5.967721 5.613859 5.768379 5.212015 5.232173 5.212307 5.324064 5.13243 5.124996 5.229373 5.234596 5.194671 5.304825 5.226458 5.246088 5.219364 5.240134 5.161271 5.317733 5.198134 5.218444 3.571888 3.556805 3.591717 3.547179 3.57091 3.679306 3.586335 3.619699 3.707411 3.562328 3.585241 3.58452 3.625771 3.576385 3.568771 3.583452 3.647495 3.563795 3.597032 3.569569 4.255071 4.432781 4.463105 4.365783 4.442757 4.305206 4.22513 4.34393 4.422748 4.254609 4.495644 4.299178 4.17307 4.309084 4.662633 4.377303 4.262254 4.478158 4.274328 5.600169 5.661936 5.604536 5.658343 5.567864 5.565817 5.646954 5.664303 5.606397 5.641058 5.601654 5.644065 3.624659 3.635424 3.678109 3.646368 3.644028 3.649699 3.641715 3.63103 3.621781 3.652349 3.66919 3.625276 3.638726 3.636092 3.645241 3.637984 4.051409 4.078465 4.167386 4.107219 4.185845 4.067727 4.045173 4.182202 4.084005 4.085718 4.255276 4.136922 4.180547 4.12474 4.13991 4.138121 4.079626 4.145884 4.219136 4.096521 5.39819 5.432956 5.358301 5.439415 5.424293 5.414341 5.367028 5.413946 5.421735 5.411732 5.433229 5.410505 5.409525 5.42569
APHP_F7 8.801748 7.873874 8.507246 8.254576 7.967985 8.808268 8.037692 0 8.008057 8.46362 8.24688 8.707085 8.349783 8.121792 9.222968 8.236519 8.151293 8.069286 8.012017 9.779051 9.501935 9.756418 10.008155 9.815778 9.7348 9.278345 10.094752 9.47745 9.452648 9.176453 9.31115 9.989196 9.971082 9.93856 10.192124 9.732948 9.570263 8.840805 5.653269 5.666282 5.672535 5.622445 5.635288 5.682984 5.63299 5.617711 5.56004 5.882041 5.539334 5.647665 5.569714 5.694406 5.735927 5.679947 5.771985 5.580025 5.474399 5.093644 5.099822 5.101702 4.998403 5.209822 5.20095 5.10818 5.110519 5.084955 4.994966 5.106691 5.095502 5.11042 5.118002 5.203009 4.999141 5.09592 5.108491 3.587525 3.586655 3.589336 3.567286 3.567289 3.663607 3.592498 3.600924 3.749124 3.563506 3.585032 3.588529 3.564679 3.588717 3.580053 3.591649 3.688851 3.563024 3.60993 3.573284 4.179417 4.269197 4.526281 4.389704 4.396176 4.200968 4.136452 4.270606 4.497341 4.241177 4.36836 4.182763 4.106121 4.109044 4.719806 4.30483 4.220166 4.364881 4.156936 5.280865 5.24707 5.283383 5.237489 5.237429 5.253783 5.251169 5.291745 5.304734 5.280246 5.291566 5.315603 3.59953 3.633691 3.656075 3.648704 3.604375 3.612594 3.636851 3.623221 3.598741 3.633018 3.652606 3.620227 3.61092 3.595727 3.62287 3.618046 3.997228 4.077958 4.044856 4.121172 4.192133 4.078714 3.995932 4.082238 4.052247 4.112888 4.221701 4.064212 4.132071 4.115516 4.14794 4.17222 3.991801 4.134338 4.026583 4.061712 5.078332 5.084508 5.069516 5.080308 5.086822 5.081032 5.053183 5.083583 5.096854 5.089417 5.0902 5.077857 5.082862 5.085352
APHP_F8 8.620945 9.15507 8.934944 8.700223 7.819553 8.474466 8.197004 8.1642 0 8.847137 8.432506 8.313986 7.590873 8.081119 8.208481 8.570338 8.639227 8.316267 8.451791 8.287862 7.904479 8.82697 8.804089 8.811823 7.954937 9.102399 8.685336 8.615994 8.528623 8.709283 9.148777 8.865745 8.967564 9.033923 8.632188 8.684874 8.639617 8.145831 5.914609 5.87427 6.063681 5.786763 5.959972 5.993318 5.905882 5.879827 5.946348 6.174281 5.889891 5.910362 5.901968 5.852184 5.877228 6.025177 6.26993 5.765062 5.83359 5.29672 5.320869 5.353884 5.336586 5.294273 5.300857 5.32342 5.3234 5.318996 5.352044 5.317433 5.302941 5.316388 5.307147 5.335131 5.34917 5.316336 5.296419 3.630912 3.628757 3.651115 3.612907 3.619752 3.740133 3.648964 3.662784 3.746264 3.624833 3.632683 3.63286 3.646765 3.637166 3.6362 3.622424 3.704644 3.621551 3.652843 3.625404 4.420093 4.59066 4.613784 4.527772 4.69513 4.406745 4.222637 4.460927 4.549583 4.40725 4.661051 4.462746 4.286131 4.321228 4.808221 4.572286 4.418354 4.613804 4.389791 5.398115 5.355577 5.374476 5.39626 5.298831 5.349261 5.30833 5.342451 5.407451 5.404075 5.429468 5.377805 3.681616 3.695426 3.713512 3.69828 3.671002 3.683811 3.677366 3.67361 3.645847 3.710441 3.700339 3.653576 3.676753 3.648644 3.680619 3.66383 4.142863 4.187211 4.171499 4.119979 4.296342 4.152674 4.19085 4.260261 4.217916 4.21143 4.324606 4.131934 4.245296 4.215413 4.189549 4.230151 4.096332 4.223903 4.182729 4.173551 5.01442 5.025177 5.032 5.019043 5.019275 5.016107 5.0262 5.022796 5.021619 5.021977 5.025291 5.031597 5.021106 5.029177
APHP_F9 9.234855 8.821903 8.472312 8.725373 8.230177 8.714836 8.485264 8.599725 8.777514 0 8.814004 8.561064 7.79703 8.634421 8.737966 8.305392 8.915214 8.265351 8.529611 8.919611 8.656074 8.775855 9.259011 9.154706 8.73099 9.47111 9.362889 9.34382 9.042887 8.91046 9.144435 9.352482 9.500983 9.832312 9.185607 9.006037 9.168548 8.446611 5.651308 5.713306 5.576982 5.714779 5.77026 5.819092 5.66689 5.688794 5.490288 5.924523 5.616994 5.812849 5.661919 5.718358 5.705598 5.824359 5.745711 5.603648 5.363147 5.077806 5.064984 5.093724 4.894912 5.251812 5.256345 5.074924 5.084283 5.074896 4.910532 5.084702 5.114839 5.063792 5.08525 5.269987 4.894527 5.084262 5.063092 3.718596 3.649914 3.640253 3.649953 3.64888 3.698676 3.733263 3.678768 3.787813 3.684624 3.695466 3.674237 3.660156 3.662147 3.701681 3.667244 3.738017 3.640615 3.723431 3.663506 4.441028 4.575562 4.835323 4.726524 4.630388 4.443199 4.289128 4.435996 4.828913 4.449273 4.661394 4.440175 4.312089 4.369602 4.884193 4.462206 4.458343 4.427936 4.431858 5.103428 5.085998 5.097289 5.10238 5.098735 5.074513 5.144194 5.126646 5.12694 5.12489 5.140631 5.049705 3.643769 3.716028 3.695275 3.69856 3.679637 3.693844 3.72119 3.730841 3.676609 3.676332 3.730562 3.666644 3.719196 3.673028 3.67554 3.691191 4.149083 4.253546 4.237057 4.234969 4.348523 4.235292 4.197507 4.270067 4.266572 4.253547 4.323477 4.234771 4.397345 4.338147 4.22695 4.322649 4.139517 4.264023 4.233542 4.240154 4.825151 4.851666 4.820285 4.846345 4.841329 4.827985 4.841507 4.831955 4.829183 4.837745 4.836371 4.851369 4.838331 4.839195
