mds1	mds2	window_N	window_pos	window_id	outlier
-0.511228884724854	0.0872733108885178	1	31164	chrchr20:1-42233	mds1
-0.558150551399621	0.0939518586629266	2	55390	chrchr20:42234-63010	mds1
-0.533963828180605	0.0952934926244145	3	84189	chrchr20:63011-91844	mds1
-0.388547070865421	0.0754814127157652	4	94824	chrchr20:91845-99247	mds1
-0.588043382843985	0.10699172044642	5	110822	chrchr20:99248-117707	mds1
-0.434235615992689	0.068269234583792	6	126460	chrchr20:117708-130812	mds1
-0.510430111056374	0.0747853957881361	7	149736	chrchr20:130813-167742	mds1
-0.508852031178999	0.101081426964791	8	172977	chrchr20:167743-196883	mds1
-0.563153434361073	0.0720944869558288	9	217812	chrchr20:196884-234861	mds1
-0.574519078943068	0.079148372271014	10	271902	chrchr20:234862-289324	mds1
-0.555156942639064	0.115219508312838	11	298198	chrchr20:289325-315015	mds1
-0.610456085738756	0.0633937823190256	12	324008	chrchr20:315016-338865	mds1
-0.598112051721373	0.0769863919938719	13	364682	chrchr20:338866-377994	mds1
-0.565357544002509	0.0425503289570083	14	382031	chrchr20:377995-396810	mds1
-0.600092536027995	0.0515064919672181	15	419781	chrchr20:396811-436231	mds1
-0.653187354027473	0.0749650959992993	16	457677	chrchr20:436232-480963	mds1
-0.602282498404112	0.071594092106743	17	500358	chrchr20:480964-522736	mds1
-0.622992225512398	0.0808865023887599	18	533600	chrchr20:522737-550249	mds1
-0.584374506328467	0.0558284254344815	19	567970	chrchr20:550250-595464	mds1
-0.581534971906044	0.0591006529314426	20	609776	chrchr20:595465-627337	mds1
-0.600323146936121	0.0969446692155907	21	654826	chrchr20:627338-671055	mds1
-0.545907554338566	0.0407785053661668	22	678636	chrchr20:671056-689406	mds1
-0.638455980783274	0.131337869462053	23	711462	chrchr20:689407-727081	mds1
-0.715295068819326	0.0961458790635389	24	737897	chrchr20:727082-757042	mds1
-0.535319903456039	0.0226619915983837	25	777082	chrchr20:757043-792014	mds1
-0.550028389533428	0.0244976070613784	26	807473	chrchr20:792015-849765	mds1
-0.484869112601676	0.0273241697491415	27	880942	chrchr20:849766-889927	mds1
-0.52817618807516	-0.00797657592803568	28	903688	chrchr20:889928-935358	mds1
-0.324698505146051	0.0243995434252088	29	942859	chrchr20:935359-953900	mds1
-0.451562135135963	-0.0265456618461103	30	972207	chrchr20:953901-988060	mds1
-0.507954404577656	0.0176903947882383	31	1006210	chrchr20:988061-1024126	mds1
-0.538340161795639	0.0459096102550175	32	1043779	chrchr20:1024127-1088494	mds1
-0.485655327465702	0.01563624762659	33	1099160	chrchr20:1088495-1124205	mds1
-0.610992706741789	0.0388608776659924	34	1137410	chrchr20:1124206-1178067	mds1
