mds1	mds2	window_N	window_pos	window_id	outlier
-0.627365353770796	-0.13850901519473	1	55558	chrchr20:1-90569	mds1
-0.354861712746999	-0.146417667997059	2	94933	chrchr20:90570-100229	N
-0.60454839797265	-0.159200897886152	3	118073	chrchr20:100230-145304	mds1
-0.521514813718023	-0.22113435429098	4	171222	chrchr20:145305-213147	mds1
-0.575567024594439	-0.130927232199226	5	290003	chrchr20:213148-322511	mds1
-0.606294933649858	-0.181588636814802	6	399082	chrchr20:322512-495203	mds1
-0.520549301747818	-0.0976022180143995	7	563942	chrchr20:495204-643266	mds1
-0.51517839695953	-0.152540914602766	8	690262	chrchr20:643267-735788	mds1
-0.478803771190108	-0.0785150002520677	9	850791	chrchr20:735789-935660	N
-0.379952156841107	-0.116746133499582	10	953775	chrchr20:935661-1107691	N
-0.327491006561273	-0.0544557859632672	11	1130847	chrchr20:1107692-1207642	N
-0.171046820627612	0.182678115439175	12	1223752	chrchr20:1207643-1246291	N
-0.397096128159109	-0.0586366660250144	13	1299917	chrchr20:1246292-1371207	N
-0.429249385320589	-0.21147148522533	14	1453485	chrchr20:1371208-1542974	N
-0.399960813859663	-0.138709950108866	15	1603100	chrchr20:1542975-1652750	N
-0.435332576484551	-0.0265875101826971	16	1725385	chrchr20:1652751-1816967	N
-0.381507717857132	-0.140322016369382	17	1874937	chrchr20:1816968-1891599	N
-0.294794633217291	0.0444193538814506	18	1912037	chrchr20:1891600-2028262	N
-0.467560936983206	-0.0570279255200987	19	2121064	chrchr20:2028263-2194771	N
-0.227697412162512	0.109319278521114	20	2263014	chrchr20:2194772-2350360	N
-0.28204334052613	0.0451387673615165	21	2430888	chrchr20:2350361-2510320	N
-0.228852442265082	0.0750375944042584	22	2610450	chrchr20:2510321-2620367	N
-0.247948297936884	0.00915141828713163	23	2643658	chrchr20:2620368-2751644	N
-0.192651244657779	0.132615489853146	24	2870301	chrchr20:2751645-2922969	N
0.0210842388604544	0.00784236980024429	25	3068477	chrchr20:2922970-3090009	N
-0.172463566426046	0.0654914559352452	26	3100016	chrchr20:3090010-3133964	N
0.17173032278521	0.0549202038040467	27	3157627	chrchr20:3133965-3171302	N
-0.290288450654983	0.151408499047736	28	3192549	chrchr20:3171303-3198352	N
-0.266286170096507	0.122444818353947	29	3207117	chrchr20:3198353-3214112	N
-0.239594467110327	0.118280039419017	30	3219302	chrchr20:3214113-3225548	N
