P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
APHP	APLP	GH	0.132666	8.41301	2.00035e-17	0.136258	11264.2	6334.76	4850.82
APHP	APLP	GL	0.139497	7.33421	1.11513e-13	0.0782653	11168.8	6374.77	4813.97
APLP	APHP	MADHP	0.0591712	4.42483	4.82591e-06	0.0247075	16348.9	4887.89	4341.76
APLP	APHP	MADLP	0.0611207	4.74429	1.04618e-06	0.0280565	16353.4	4895.32	4331.38
APLP	APHP	OH	0.0462538	3.85094	5.88323e-05	0.0494235	16102.5	4861.64	4431.78
APLP	APHP	OL	0.0534839	4.29468	8.7471e-06	0.0436274	16250.7	4892.64	4395.85
APHP	APLP	TACHP	0.0831238	8.45314	1.4203e-17	0.0569635	11328.6	5793.21	4904.02
APHP	APLP	TACLP	0.0875263	8.06023	3.80772e-16	0.0441991	11235	5833.11	4894.19
GH	GL	APHP	0.00855733	0.440949	0.329625	0.0123584	15160.2	3450.36	3391.81
GH	APHP	MADHP	0.0413129	2.88295	0.00196985	0.0242823	11806	6758.36	6222.1
GH	APHP	MADLP	0.0428055	3.1459	0.000827876	0.0276499	11812.6	6767.8	6212.19
GH	APHP	OH	0.0238666	2.08239	0.0186532	0.0364142	11526.7	6699.21	6386.89
GH	APHP	OL	0.038494	2.93573	0.00166379	0.0440378	11716.6	6771.86	6269.83
APHP	GH	TACHP	0.111633	6.16501	3.52403e-10	0.111288	6927.88	8655.01	6916.69
APHP	GH	TACLP	0.109986	6.00308	9.68041e-10	0.0808684	6878.03	8668.52	6950.64
GL	APHP	MADHP	0.0494235	2.80011	0.00255423	0.0287519	11879	6772.86	6134.91
GL	APHP	MADLP	0.0486577	2.65309	0.00398789	0.0311696	11875.1	6771.78	6143.36
GL	APHP	OH	0.0314637	2.01019	0.0222057	0.047197	11594.4	6708.34	6299.08
GL	APHP	OL	0.0416959	2.68568	0.00361914	0.0472941	11761.4	6758.12	6217.11
APHP	GL	TACHP	0.127965	6.23576	2.248e-10	0.127636	6854.45	8775.92	6784.71
APHP	GL	TACLP	0.116363	5.96651	1.21192e-09	0.0852294	6860.36	8684.94	6874.41
MADHP	MADLP	APHP	0.00042606	0.0514678	0.479476	0.000290173	19888.5	3346.39	3343.54
MADHP	OH	APHP	0.0194141	2.00209	0.0226373	0.0224066	13764.8	5779.15	5559.03
MADHP	OL	APHP	0.0103802	1.9329	0.0266244	0.0104743	15658.9	5008.52	4905.61
TACHP	APHP	MADHP	0.142219	7.70622	6.48017e-15	0.0772556	12282.5	7246.06	5441.63
TACLP	APHP	MADHP	0.142067	7.5694	1.87471e-14	0.0768434	12330.9	7210.68	5416.74
MADLP	OH	APHP	0.0188115	1.95083	0.0255385	0.0221134	13489.7	5883.57	5666.3
MADLP	OL	APHP	0.0101031	1.60742	0.0539812	0.0101841	15663.5	5002.02	4901.96
TACHP	APHP	MADLP	0.138092	7.25527	2.00438e-13	0.0824645	12270.2	7236.66	5480.52
TACLP	APHP	MADLP	0.137089	7.39096	7.28864e-14	0.0814792	12307.5	7190.15	5456.43
