P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
APHP	APLP	GH	0.118413	6.18486	3.10795e-10	0.146788	7337.14	4984.11	3928.72
APHP	APLP	GL	0.135877	7.37229	8.38622e-14	0.0926284	7168.06	5092.56	3874.19
APLP	APHP	MADHP	0.0198123	1.13635	0.127905	0.0100897	11045.2	3847.11	3697.63
APLP	APHP	MADLP	0.017266	0.998737	0.158961	0.00941125	11016.1	3839.17	3708.84
APLP	APHP	OH	0.0141878	0.888445	0.187151	0.0183125	10819.2	3837.77	3730.4
APLP	APHP	OL	0.0219375	1.28232	0.0998657	0.0213634	10901.2	3872.86	3706.58
APHP	APLP	TACHP	0.095022	5.66349	7.4163e-09	0.0723277	7965.59	4737.83	3915.57
APHP	APLP	TACLP	0.0938476	5.60362	1.04963e-08	0.0531952	7937.22	4742.8	3928.97
GH	GL	APHP	0.0215099	0.914241	0.180295	0.0532129	10211.1	2720.07	2605.52
GH	APHP	MADHP	0.0446725	3.22164	0.0006373	0.0278253	8700.6	4910.89	4490.89
GH	APHP	MADLP	0.0436359	3.28172	0.000515878	0.0290534	8680.34	4911.86	4501.12
GH	APHP	OH	0.0280528	2.19037	0.0142486	0.0442437	8451.48	4878.52	4612.27
GH	APHP	OL	0.0369115	2.81192	0.0024623	0.0439128	8533.35	4913.45	4563.63
APHP	TACHP	GH	0.0248208	0.778878	0.218026	0.040024	5011.44	5940.81	5653.04
APHP	TACLP	GH	0.0207502	0.615054	0.26926	0.0334765	5079.6	5920.12	5679.43
GL	APHP	MADHP	0.0574035	2.83968	0.00225791	0.0353242	8855.3	4951.04	4413.48
GL	APHP	MADLP	0.0526108	2.64374	0.00409973	0.0346342	8808.52	4925.49	4433.13
GL	APHP	OH	0.035652	2.01552	0.0219253	0.0552142	8574.75	4887.23	4550.75
GL	APHP	OL	0.0460799	2.36268	0.00907168	0.0539628	8669	4934.54	4499.8
APHP	TACHP	GL	0.0305743	1.0575	0.145142	0.0271725	4910.07	6023.63	5666.22
APHP	TACLP	GL	0.0277903	0.953632	0.170135	0.0247485	4979.66	6019.57	5694.05
MADHP	MADLP	APHP	0.00436503	0.657889	0.255305	0.00357852	14610.8	2442.44	2421.21
MADHP	OH	APHP	0.0251392	2.4838	0.00649942	0.036514	9815.84	4419.27	4202.52
MADHP	OL	APHP	0.0225058	2.21021	0.0135454	0.0286082	11205.9	3857.33	3687.53
TACHP	APHP	MADHP	0.070427	2.64128	0.00412965	0.0455539	8471.44	5323.33	4622.85
TACLP	APHP	MADHP	0.0649135	2.46041	0.00693892	0.0420808	8478.03	5288.15	4643.45
MADLP	OH	APHP	0.0225536	2.39919	0.00821577	0.033013	9745.15	4432.2	4236.69
MADLP	OL	APHP	0.0198537	2.05736	0.0198259	0.0250794	11325.9	3816	3667.42
TACHP	APHP	MADLP	0.0710243	2.67499	0.00373663	0.0489821	8451.22	5324.34	4618.18
TACLP	APHP	MADLP	0.0662887	2.51455	0.00595914	0.0457823	8460.68	5292.03	4634.04
OL	OH	APHP	0.00535914	1.00203	0.158164	0.00813272	9684.16	4403.04	4356.09
TACHP	APHP	OH	0.0633898	2.98428	0.00142121	0.0992782	8240.27	5308.9	4675.96
TACLP	APHP	OH	0.0563553	2.77544	0.00275636	0.0892483	8241.35	5268.22	4706.11
TACHP	APHP	OL	0.0707848	3.03523	0.00120176	0.0848908	8318.68	5340.38	4634.32
TACLP	APHP	OL	0.0642884	2.7758	0.00275332	0.0776258	8319.63	5299.56	4659.32
TACHP	TACLP	APHP	0.0135007	0.692395	0.244345	0.0149856	13269.5	1567.86	1526.09
GH	GL	APLP	0.0495469	1.64788	0.0496889	0.0594861	9212.08	2939.44	2661.91
GH	APLP	MADHP	0.0309345	1.72173	0.0425595	0.0179223	9502.36	4507.78	4237.25
GH	APLP	MADLP	0.0320147	1.829	0.0336996	0.0198379	9473.94	4519.75	4239.33
GH	APLP	OH	0.0180144	1.14121	0.126892	0.0263959	9224.64	4488.9	4330.03
GH	APLP	OL	0.0208676	1.22694	0.109923	0.02304	9331.05	4489.48	4305.94
APLP	GH	TACHP	0.0102523	0.441465	0.329438	0.0101621	6044.76	5277.14	5170.03
APLP	GH	TACLP	0.00254527	0.115739	0.45393	0.00184319	6073.06	5258.36	5231.66
GL	APLP	MADHP	0.0454303	2.57434	0.0050216	0.0255033	9737.29	4465.17	4077.1
GL	APLP	MADLP	0.0423862	2.46422	0.00686558	0.02548	9683.49	4451.76	4089.72
GL	APLP	OH	0.0265737	1.90579	0.0283389	0.0375968	9438.61	4425.35	4196.24
GL	APLP	OL	0.0311948	1.78937	0.0367772	0.0333235	9556.29	4437.19	4168.73
APLP	GL	TACHP	0.0284644	0.975759	0.164592	0.0276351	6123.53	5262.57	4971.27
APLP	GL	TACLP	0.0219545	0.694087	0.243814	0.015607	6154.82	5261.97	5035.89
MADHP	MADLP	APLP	0.00844606	1.13602	0.127974	0.00417776	14709.6	2410.9	2370.52
MADHP	OH	APLP	0.0303609	2.45894	0.00696745	0.0267735	9896.21	4392.26	4133.41
MADHP	OL	APLP	0.0205416	1.92916	0.0268554	0.0158225	11315.7	3800.82	3647.82
TACHP	APLP	MADHP	0.0593194	3.08526	0.00101688	0.0358353	9039.71	4919.86	4368.86
TACLP	APLP	MADHP	0.0532991	2.70691	0.00339566	0.032324	9046.43	4893.25	4398.03
MADLP	OH	APLP	0.0254796	2.01477	0.0219642	0.0227066	9816.58	4396.25	4177.79
MADLP	OL	APLP	0.0152417	1.40671	0.0797564	0.0117036	11427.1	3750.88	3638.26
TACHP	APLP	MADLP	0.0620487	3.34488	0.000411591	0.0399511	9007.58	4928.12	4352.28
TACLP	APLP	MADLP	0.0568208	2.97091	0.00148458	0.0367273	9019.85	4907.05	4379.39
OL	OH	APLP	0.0121937	1.59904	0.0549059	0.0111268	9781.38	4392.88	4287.04
TACHP	APLP	OH	0.0561925	3.65402	0.000129083	0.0824489	8800.23	4939.23	4413.67
TACLP	APLP	OH	0.0485938	3.07538	0.00105116	0.0721997	8800.59	4906.26	4451.53
TACHP	APLP	OL	0.0580111	3.66673	0.000122835	0.0648993	8889.15	4922.3	4382.52
TACLP	APLP	OL	0.0509223	3.05106	0.00114019	0.0574659	8890.97	4890.8	4416.83
TACHP	TACLP	APLP	0.01044	0.513652	0.303748	0.00602184	12500.8	1613.01	1579.68
GL	GH	MADHP	0.0250202	1.04882	0.147132	0.00772484	14223.3	2407.98	2290.43
GL	GH	MADLP	0.0173714	0.768759	0.221018	0.00574239	14174.9	2390.11	2308.49
GL	GH	OH	0.0148923	0.802479	0.211138	0.0115264	13838.1	2393.37	2323.13
GL	GH	OL	0.0179175	0.832969	0.202431	0.0105411	13987.5	2412.23	2327.31
GH	GL	TACHP	0.0335141	0.836745	0.201368	0.0176611	9973.68	2840.08	2655.89
GH	GL	TACLP	0.0362815	0.831014	0.202983	0.013791	10012.9	2847.44	2648.05
MADHP	MADLP	GH	0.00649757	0.708044	0.239459	0.00267256	14940.5	2361.33	2330.84
MADHP	OH	GH	0.0440932	2.77717	0.00274171	0.0324783	10049.4	4386.6	4016.1
MADHP	OL	GH	0.0328036	2.22777	0.0129479	0.0210377	11476.4	3778	3538.01
TACHP	GH	MADHP	0.0308049	1.18718	0.117578	0.0182402	9190.21	4692.73	4412.25
TACLP	GH	MADHP	0.024539	0.931504	0.175796	0.0146663	9141.05	4690.65	4465.95
MADLP	OH	GH	0.040208	2.69631	0.00350565	0.0298798	9977.4	4398.2	4058.19
MADLP	OL	GH	0.028885	2.10967	0.0174432	0.0184107	11591	3731.26	3521.75
TACHP	GH	MADLP	0.0323858	1.27569	0.101032	0.0204917	9175.61	4708.62	4413.2
TACLP	GH	MADLP	0.0268868	1.05085	0.146663	0.017206	9141.4	4721.48	4474.24
OL	OH	GH	0.015246	1.56705	0.0585514	0.0116833	9892.79	4345.43	4214.92
