mds1	mds2	window_N	window_pos	window_id	outlier
-0.264460791311578	0.0694537396179399	1	35214	chrchr20:1-44730	mds1
-0.452859616647195	0.0832632313505964	2	56403	chrchr20:44731-66565	mds1
-0.505580151743644	0.151035916962732	3	87232	chrchr20:66566-92106	mds1
-0.298256028496386	0.0105129776213235	4	97469	chrchr20:92107-100029	mds1
-0.253848947194738	0.0491904017471586	5	112280	chrchr20:100030-119868	N
-0.123517224678427	-0.019664985392558	6	126953	chrchr20:119869-136784	N
-0.462817142635459	0.0966307363049538	7	153959	chrchr20:136785-167888	mds1
-0.372817213768312	0.075872992827516	8	172306	chrchr20:167889-188912	mds1
-0.431782675140644	0.0727897459987201	9	216580	chrchr20:188913-225874	mds1
-0.460818037301007	0.126302676599592	10	242742	chrchr20:225875-282859	mds1
-0.317715540055406	-0.0384755455371538	11	290582	chrchr20:282860-300031	mds1
-0.393918078019572	0.139424285475611	12	315319	chrchr20:300032-324536	mds1
-0.469254975194699	0.142010122241381	13	338866	chrchr20:324537-364687	mds1
-0.471106867591012	0.0435124841767947	14	378301	chrchr20:364688-389199	mds1
-0.461581869295304	0.0665997517123176	15	399082	chrchr20:389200-421407	mds1
-0.368027420772864	0.10195109169895	16	437766	chrchr20:421408-458351	mds1
-0.286811691951136	0.0928745637180076	17	483556	chrchr20:458352-502786	mds1
-0.354148599691957	-0.0545329228601793	18	523016	chrchr20:502787-534909	mds1
-0.348894012288525	-2.57176658209766e-06	19	554663	chrchr20:534910-572632	mds1
-0.164342228370585	-0.0933697960501313	20	602414	chrchr20:572633-620730	N
-0.155825791215126	-0.14295707269539	21	646904	chrchr20:620731-665440	N
-0.226362241097698	-0.0351994846151548	22	673116	chrchr20:665441-683651	N
-0.261576053366644	-0.0649871704447028	23	695949	chrchr20:683652-715317	N
-0.605165404087671	0.0906479058520695	24	728820	chrchr20:715318-739800	mds1
-0.61431952326729	0.146491263542273	25	757193	chrchr20:739801-777019	mds1
-0.634307501856771	0.135746507390361	26	786898	chrchr20:777020-801376	mds1
-0.581817876500273	0.108128705493969	27	819177	chrchr20:801377-872087	mds1
-0.672450286231337	0.184562309565444	28	885828	chrchr20:872088-892763	mds1
-0.669759378951204	0.160473240856324	29	917605	chrchr20:892764-935973	mds1
-0.543483416589395	0.170498104492883	30	946053	chrchr20:935974-959131	mds1
-0.591842979970877	0.131102412252933	31	972479	chrchr20:959132-987297	mds1
-0.629191443617639	0.122478934586293	32	1004930	chrchr20:987298-1019792	mds1
-0.60272040879787	0.089666224202804	33	1029613	chrchr20:1019793-1049630	mds1
-0.593416036400018	0.103949180766762	34	1094090	chrchr20:1049631-1104439	mds1
-0.588859135578762	0.0849369965167905	35	1125727	chrchr20:1104440-1166384	mds1
-0.621230446921004	0.105297741494567	36	1180125	chrchr20:1166385-1193733	mds1
-0.357742441242232	0.117448469325613	37	1220899	chrchr20:1193734-1223671	mds1
-0.426232040621754	0.172196038673378	38	1224055	chrchr20:1223672-1237130	mds1
-0.599555698118898	0.136093683512727	39	1262159	chrchr20:1237131-1274869	mds1
-0.575095578164489	0.146786926450287	40	1292210	chrchr20:1274870-1296686	mds1
-0.50061669805106	0.201184182023419	41	1299597	chrchr20:1296687-1315835	mds1
-0.61793550707679	0.136715003885727	42	1328679	chrchr20:1315836-1341383	mds1
-0.589814586074155	0.14899187134421	43	1349767	chrchr20:1341384-1365955	mds1
-0.55868910091109	0.164969492480096	44	1378635	chrchr20:1365956-1398422	mds1
-0.600129292495096	0.149697705892595	45	1409982	chrchr20:1398423-1429421	mds1
-0.58261056518039	0.0818778996989187	46	1460656	chrchr20:1429422-1473009	mds1
-0.473297319838062	-0.110512022379028	47	1498871	chrchr20:1473010-1519613	mds1
-0.0850499859024432	-0.457101703162364	48	1535828	chrchr20:1519614-1542078	mds2
-0.169706236462694	-0.426432184330121	49	1548665	chrchr20:1542079-1567930	mds2
-0.0490836773315722	-0.486662264238048	50	1575906	chrchr20:1567931-1588837	mds2
-0.244366718001169	-0.479593219768532	51	1598273	chrchr20:1588838-1605518	mds2
-0.0155956453667913	-0.531233953726103	52	1630601	chrchr20:1605519-1652750	mds2
-0.0512130657970307	-0.395203434230412	53	1657417	chrchr20:1652751-1666913	mds2
-0.159540685792314	-0.492533512035516	54	1677883	chrchr20:1666914-1698135	mds2
-0.145911191771267	-0.667389041485975	55	1723172	chrchr20:1698136-1748027	mds2
-0.165427023318518	-0.648325709402342	56	1772825	chrchr20:1748028-1783277	mds2
-0.146919228082109	-0.665323443028703	57	1808817	chrchr20:1783278-1825467	mds2
-0.161787603894765	-0.590828820698306	58	1843087	chrchr20:1825468-1859817	mds2
-0.180546205977298	-0.580146005916456	59	1868938	chrchr20:1859818-1881593	mds2
-0.147049516048384	-0.57307932398877	60	1891157	chrchr20:1881594-1903130	mds2
-0.141269711428231	-0.566484543438884	61	1911811	chrchr20:1903131-1926362	mds2
-0.163705507945981	-0.620362615130306	62	1936807	chrchr20:1926363-1971261	mds2
-0.18305838476347	-0.450643565823239	63	1988253	chrchr20:1971262-2008235	mds2
-0.134090677798824	-0.610107262325162	64	2017031	chrchr20:2008236-2028792	mds2
-0.119013049070074	-0.626764742768085	65	2056369	chrchr20:2028793-2079073	mds2
-0.104758717531564	-0.422997926425437	66	2106253	chrchr20:2079074-2143757	mds2
-0.230151971761694	-0.0739622678878988	67	2194687	chrchr20:2143758-2218582	N
-0.293651711807769	-0.154050105074439	68	2278044	chrchr20:2218583-2326317	mds1
-0.197666438072093	-0.303238147201867	69	2367971	chrchr20:2326318-2427008	mds2
-0.262741947653084	-0.162765073086063	70	2507527	chrchr20:2427009-2511695	N
-0.199645861530376	-0.221663538673717	71	2584356	chrchr20:2511696-2617783	mds2
-0.161814890535667	0.0310498932616762	72	2619428	chrchr20:2617784-2631122	N
-0.305033808294535	-0.25846166568694	73	2689592	chrchr20:2631123-2755107	mds1
-0.19517016973181	-0.224259018558409	74	2816668	chrchr20:2755108-2882909	mds2
-0.208281227919844	-0.110818013876695	75	2915363	chrchr20:2882910-2954889	N
-0.130983733172113	-0.122805975798008	76	2999326	chrchr20:2954890-3019716	N
-0.0761016647693127	-0.234152279665205	77	3032702	chrchr20:3019717-3044292	mds2
-0.236034139426122	-0.2178955950992	78	3055210	chrchr20:3044293-3087717	mds2
-0.138597300546265	-0.18395629452894	79	3094021	chrchr20:3087718-3102156	N
-0.215168808015043	0.105500277587245	80	3118181	chrchr20:3102157-3139824	N
-0.270802605531752	0.0836003351046693	81	3155783	chrchr20:3139825-3158078	mds1
-0.393204865257314	0.14380157323017	82	3164224	chrchr20:3158079-3186867	mds1
-0.403620530876474	0.124809272419366	83	3194301	chrchr20:3186868-3198996	mds1
-0.0998740852070562	0.0276041626833619	84	3204254	chrchr20:3198997-3211030	N
-0.411651603018513	0.0742323647564553	85	3215233	chrchr20:3211031-3218853	mds1
-0.351504152285349	-0.0805430610694928	86	3222509	chrchr20:3218854-3229335	mds1
-0.213032286977213	-0.0504637726153733	87	3235211	chrchr20:3229336-3239648	N
-0.0800831464900341	-0.095312586833427	88	3244789	chrchr20:3239649-3251020	N
-0.0292960149404422	-0.0889285971387778	89	3258683	chrchr20:3251021-3265220	N
-0.0364418248717159	-0.133297300678449	90	3271895	chrchr20:3265221-3278264	N
-0.00377328208387059	-0.110110930617442	91	3285727	chrchr20:3278265-3290769	N
-0.079385091954162	-0.106950999312675	92	3294223	chrchr20:3290770-3301682	N
-0.137982784426688	-0.114048245017957	93	3305591	chrchr20:3301683-3309252	N
-0.201767548098947	0.0038185972090683	94	3312224	chrchr20:3309253-3319181	N
-0.0919315711539567	0.0623758146118818	95	3323186	chrchr20:3319182-3330685	N
-0.185694283130794	0.0918151088443615	96	3335641	chrchr20:3330686-3342544	N
-0.149174251718497	0.0345770908574961	97	3349596	chrchr20:3342545-3352582	N
-0.147593651209454	-0.00487978793697108	98	3360192	chrchr20:3352583-3364360	N
-0.0071955328639882	-0.102788549903642	99	3368436	chrchr20:3364361-3375968	N
0.0623197520159109	0.0855070264943834	100	3380969	chrchr20:3375969-3390404	N
0.0857388532781314	0.0617292250750415	101	3395368	chrchr20:3390405-3401019	N
-0.17629179291725	-0.0502956721121323	102	3406430	chrchr20:3401020-3413636	N
0.0602452365233858	0.0912342579921926	103	3415620	chrchr20:3413637-3418225	N
-0.0660601219792824	0.0889566280045957	104	3422763	chrchr20:3418226-3429936	N
-0.255867792091695	-0.0216729152329924	105	3434054	chrchr20:3429937-3436186	N
-0.292648689584836	0.137102594606979	106	3441325	chrchr20:3436187-3445630	mds1
