P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
APHP	APLP	GH	0.10292	4.46085	4.08168e-06	0.101695	5787.26	2960.95	2408.35
APHP	APLP	GL	0.1034	4.41772	4.98729e-06	0.0555204	5856.52	2954.07	2400.42
APLP	APHP	MADHP	0.0580762	5.21232	9.32459e-08	0.0231105	8903.25	2228.63	1983.98
APLP	APHP	MADLP	0.0591848	5.05289	2.17589e-07	0.0249359	8955.24	2228.2	1979.19
APLP	APHP	OH	0.0405822	3.92544	4.32854e-05	0.0445689	8828.74	2213.24	2040.61
APLP	APHP	OL	0.0466799	4.47482	3.82383e-06	0.0384108	8850.53	2227.6	2028.91
APHP	APLP	TACHP	0.0993413	5.99739	1.00254e-09	0.0659336	5817.59	2922.44	2394.27
APHP	APLP	TACLP	0.103203	6.22052	2.47755e-10	0.0515222	5813.15	2947.41	2395.96
GL	GH	APHP	0.0235019	0.987668	0.161658	0.0344895	7570.96	1680.69	1603.51
GH	APHP	MADHP	0.0461315	4.62709	1.85416e-06	0.0263409	6468.83	3173.12	2893.27
GH	APHP	MADLP	0.0420508	4.34128	7.0828e-06	0.0255421	6510.29	3162.16	2906.95
GH	APHP	OH	0.0219557	1.70966	0.0436642	0.035195	6380.24	3143.66	3008.58
GH	APHP	OL	0.0363128	3.6774	0.00011781	0.043017	6429.05	3185.04	2961.83
TACHP	GH	APHP	0.00654035	0.301496	0.381518	0.020202	4583.09	3416.62	3372.22
TACLP	GH	APHP	0.00559047	0.266956	0.394752	0.0174496	4567.8	3442.51	3404.23
GL	APHP	MADHP	0.0504662	3.17977	0.000736965	0.0286141	6390.17	3171.65	2866.9
GL	APHP	MADLP	0.0502418	3.2487	0.000579675	0.0302443	6444.31	3173.37	2869.75
GL	APHP	OH	0.0339892	2.34084	0.00962022	0.0533362	6335.09	3175.69	2966.91
GL	APHP	OL	0.0411416	2.8831	0.00196892	0.0484537	6361.67	3194.84	2942.35
GL	TACHP	APHP	0.0050837	0.201782	0.420044	0.0146148	4883.87	3240.77	3207.98
GL	TACLP	APHP	0.00597156	0.251768	0.40061	0.0173775	4852.05	3277.26	3238.35
MADLP	MADHP	APHP	0.0183207	1.96351	0.0247937	0.00950931	10571.4	1456.71	1404.29
MADHP	OH	APHP	0.00979415	0.845362	0.198954	0.0108485	6471.18	3048.19	2989.06
MADHP	OL	APHP	0.0102592	0.926701	0.177041	0.00947605	7785.38	2545.34	2493.65
TACHP	APHP	MADHP	0.090115	6.80707	4.98028e-12	0.050458	6576.46	3325.15	2775.4
TACLP	APHP	MADHP	0.101336	6.08557	5.80386e-10	0.0563896	6616.25	3358.82	2740.72
MADLP	OH	APHP	0.0182957	1.8183	0.0345093	0.0202525	6395.6	3104.18	2992.63
MADLP	OL	APHP	0.020514	2.00279	0.0225998	0.0188903	7763.53	2589.63	2485.52
TACHP	APHP	MADLP	0.0889352	6.16112	3.61159e-10	0.0528274	6626.89	3323.17	2780.35
TACLP	APHP	MADLP	0.0991096	5.8429	2.56494e-09	0.0585278	6664.79	3354.94	2749.9
OL	OH	APHP	0.00118381	0.143388	0.442992	0.00137522	6280.12	3143.5	3136.07
TACHP	APHP	OH	0.0617776	4.86393	5.75394e-07	0.0935613	6476.21	3284.03	2901.88
TACLP	APHP	OH	0.0659253	4.67665	1.45801e-06	0.0992376	6497.09	3298.79	2890.74
TACHP	APHP	OL	0.0759064	5.93188	1.49746e-09	0.0863109	6525.73	3326.12	2856.8
TACLP	APHP	OL	0.0796693	5.45169	2.49464e-08	0.0902038	6544.5	3338.77	2846.03
TACHP	TACLP	APHP	0.00350273	0.147702	0.441289	0.00278504	9249.43	877.36	871.235
GL	GH	APLP	0.0222515	0.766928	0.221562	0.0146449	7086.54	1748.88	1672.75
GH	APLP	MADHP	0.00619044	0.504355	0.307006	0.00331316	6953.65	2860.68	2825.48
GH	APLP	MADLP	0.0010891	0.0892877	0.464427	0.000620386	6998.2	2848.46	2842.26
APLP	GH	OH	0.0064646	0.453392	0.325133	0.00969798	6847.63	2923.37	2885.81
GH	APLP	OL	0.00424303	0.394575	0.346578	0.00472481	6896.6	2901.28	2876.77
TACHP	GH	APLP	0.00972828	0.385055	0.350098	0.0132833	4186.33	3572.46	3503.63
TACLP	GH	APLP	0.00551661	0.22451	0.41118	0.00765019	4166.21	3593.53	3554.1
GL	APLP	MADHP	0.0106205	0.607428	0.271783	0.00564228	6875.87	2859.04	2798.95
GL	APLP	MADLP	0.0096304	0.540943	0.294274	0.00543933	6935.91	2862.31	2807.7
GL	APLP	OH	0.00623855	0.405772	0.342455	0.00923536	6801.18	2915.5	2879.35
GL	APLP	OL	0.00932559	0.615353	0.269161	0.0103243	6830.64	2911.46	2857.66
GL	TACHP	APLP	0.00108643	0.0401286	0.483995	0.00140438	4477.31	3362.37	3355.08
GL	TACLP	APLP	0.00540397	0.211259	0.416343	0.00706127	4437.86	3414.52	3377.81
MADLP	MADHP	APLP	0.0201759	1.95225	0.0254543	0.00611735	10794.8	1435.44	1378.66
MADHP	OH	APLP	0.0220569	2.07632	0.0189321	0.014221	6634.21	3038.58	2907.43
MADHP	OL	APLP	0.0196648	1.71589	0.0430909	0.0105917	7970.52	2531.79	2434.14
TACHP	APLP	MADHP	0.0530986	4.04778	2.58531e-05	0.0280004	7049.63	3025.5	2720.4
TACLP	APLP	MADHP	0.0651829	3.74636	8.97078e-05	0.0340668	7104.88	3051.34	2677.89
MADLP	OH	APLP	0.0313105	2.72131	0.00325119	0.0202512	6559.04	3094.99	2907.06
MADLP	OL	APLP	0.0308904	2.57474	0.00501574	0.0166385	7949.47	2576.87	2422.44
TACHP	APLP	MADLP	0.0510782	3.6833	0.000115119	0.0285915	7103.84	3022.93	2729.13
TACLP	APLP	MADLP	0.0620652	3.52905	0.000208528	0.0344427	7156.57	3046.25	2690.22
OL	OH	APLP	0.00540096	0.548475	0.291683	0.0036713	6426.96	3117.7	3084.2
TACHP	APLP	OH	0.0358137	2.65652	0.00394754	0.0513089	6922.87	3029.89	2820.37
TACLP	APLP	OH	0.0402973	2.61705	0.00443473	0.0572395	6961.08	3038.7	2803.28
TACHP	APLP	OL	0.0463832	3.95503	3.82631e-05	0.0497701	6979.11	3052.63	2782
TACLP	APLP	OL	0.0504738	3.46135	0.000268736	0.0538297	7015.75	3059.87	2765.83
TACHP	TACLP	APLP	0.0161214	0.597829	0.274977	0.00567697	8747.39	926.769	897.361
GL	GH	MADHP	0.00947887	0.407749	0.341729	0.00233738	10791.2	1325.42	1300.53
GL	GH	MADLP	0.0184182	0.797696	0.212523	0.00482195	10831.9	1338.3	1289.9
GL	GH	OH	0.0277833	1.68481	0.0460129	0.0188242	10625.2	1363.29	1289.58
GL	GH	OL	0.0110209	0.571481	0.283837	0.00561962	10700.7	1343.22	1313.93
GH	GL	TACHP	0.121607	2.60402	0.00460683	0.063548	6284.84	1993.28	1561.05
GH	GL	TACLP	0.116649	2.42196	0.00771862	0.0431134	6322.04	1968.29	1557.06
MADLP	MADHP	GH	0.00984966	1.2209	0.111063	0.00307247	10818.4	1423.83	1396.05
MADHP	OH	GH	0.0343041	2.38153	0.00862047	0.0226237	6632.03	3073.96	2870.06
MADHP	OL	GH	0.0217842	1.93728	0.0263556	0.0120206	8004.02	2540.78	2432.44
TACHP	GH	MADHP	0.0514134	3.13218	0.000867564	0.0247722	7501.78	2759.74	2489.84
TACLP	GH	MADHP	0.0640415	3.26589	0.0005456	0.0308586	7510.82	2809.98	2471.73
MADLP	OH	GH	0.0385913	2.72993	0.00316738	0.0256285	6544.04	3117.54	2885.86
MADLP	OL	GH	0.0271675	2.21788	0.0132814	0.0150568	7970.23	2573.12	2437.01
TACHP	GH	MADLP	0.0547585	3.40819	0.000326972	0.0279847	7539.76	2769.95	2482.34
TACLP	GH	MADLP	0.066151	3.596	0.000161575	0.0338368	7547.77	2819.15	2469.32
OL	OH	GH	0.0154457	1.13171	0.128878	0.0107316	6413.13	3141.43	3045.86
TACHP	GH	OH	0.046233	3.98042	3.43962e-05	0.0604906	7333.72	2795.59	2548.51
TACLP	GH	OH	0.0507789	4.13707	1.75885e-05	0.0663705	7321.25	2824.31	2551.34
TACHP	GH	OL	0.0460033	3.08144	0.00103	0.0452614	7431.7	2798	2551.89
TACLP	GH	OL	0.0500873	3.08087	0.001032	0.0493416	7417.86	2825.35	2555.83
TACLP	TACHP	GH	0.0222577	0.584411	0.279472	0.00957881	8113.2	945.88	904.69
MADLP	MADHP	GL	0.0183742	1.70198	0.0443797	0.00378612	10840.8	1421.37	1370.08
MADHP	OH	GL	0.0262812	2.06151	0.0196272	0.0114925	6659.91	3028.13	2873.04
MADHP	OL	GL	0.0210407	1.59	0.0559175	0.0077025	8014.59	2522.06	2418.11
TACHP	GL	MADHP	0.0494364	3.01889	0.00126849	0.0224877	7799.67	2600.52	2355.51
TACLP	GL	MADHP	0.0626184	3.20701	0.000670616	0.0285878	7795.76	2658.8	2345.44
MADLP	OH	GL	0.0346593	2.70723	0.00339233	0.0152344	6580.67	3080.47	2874.09
MADLP	OL	GL	0.0312268	2.0922	0.0182103	0.011459	7989.62	2563.23	2407.99
TACHP	GL	MADLP	0.0483154	2.80594	0.0025085	0.0232746	7845.45	2595.01	2355.81
TACLP	GL	MADLP	0.0603101	3.0985	0.00097253	0.0291553	7837.98	2649.72	2348.29
OL	OH	GL	0.00832287	0.784557	0.216357	0.00381932	6443.55	3098.15	3047
TACHP	GL	OH	0.0343853	3.18862	0.000714763	0.0424558	7651.72	2607.65	2434.28
TACLP	GL	OH	0.0392162	3.38524	0.000355582	0.0484496	7622.09	2640.22	2440.95
TACHP	GL	OL	0.0429865	2.74036	0.0030686	0.0398759	7725.68	2630.47	2413.64
TACLP	GL	OL	0.0472231	2.82131	0.00239136	0.0439807	7696.86	2663.84	2423.59
TACLP	TACHP	GL	0.0331427	0.773184	0.219707	0.00744017	7704.46	969.372	907.178
MADLP	MADHP	OH	0.0348549	2.50266	0.00616323	0.333227	7585.82	1953.25	1821.68
MADLP	MADHP	OL	0.0165381	1.1149	0.132447	0	5855.42	2032.45	1966.32
MADLP	MADHP	TACHP	0.0165015	1.42885	0.0765239	0.00383675	11065.3	1400.88	1355.4
MADLP	MADHP	TACLP	0.0143379	1.15638	0.123762	0.00269287	11125.2	1392.4	1353.04
OL	MADHP	OH	0.0436361	2.71318	0.00333206	0.517815	5234.14	3424.54	3138.17
MADHP	OH	TACHP	0.0387385	3.95817	3.77631e-05	0.0191986	6844.92	3039.77	2813.05
MADHP	OH	TACLP	0.046093	4.89356	4.95152e-07	0.0184644	6885.64	3054.6	2785.41
MADHP	OL	TACHP	0.0271018	2.61406	0.00447366	0.0111871	8212.97	2503.61	2371.49
MADHP	OL	TACLP	0.0364392	3.30912	0.000467951	0.0121456	8250.8	2518.03	2340.97
TACLP	TACHP	MADHP	0.0486912	1.66306	0.04815	0.00623555	12915.3	736.041	667.691
OL	MADLP	OH	0.023529	1.42728	0.076749	0.279901	5241.9	3366.86	3212.06
MADLP	OH	TACHP	0.0460107	5.81613	3.01125e-09	0.0229642	6767.82	3094.25	2822.04
MADLP	OH	TACLP	0.0522655	7.00417	1.24231e-12	0.0211077	6805.47	3106	2797.45
MADLP	OL	TACHP	0.0361195	4.00493	3.10185e-05	0.0149845	8190.63	2547.41	2369.8
MADLP	OL	TACLP	0.0441647	4.25293	1.05496e-05	0.0148063	8225.01	2558.37	2341.95
TACLP	TACHP	MADLP	0.0442365	1.56197	0.059147	0.00601912	12959.2	734.499	672.268
OL	OH	TACHP	0.0154899	1.68733	0.0457698	0.00810129	6619.86	3101.09	3006.48
OL	OH	TACLP	0.0151105	1.67447	0.0470188	0.00639672	6639.14	3094.47	3002.34
TACLP	TACHP	OH	0.0182061	0.763492	0.222585	0.0062964	12676.7	724.135	698.239
TACLP	TACHP	OL	0.0164743	0.658495	0.25511	0.00428667	12769.5	722.39	698.974
