mds1	mds2	window_N	window_pos	window_id	outlier
-0.720908097501727	0.00176069629162179	1	46600	chrchr20:1-61482	N
-0.714625724933684	0.00309150927965918	2	85858	chrchr20:61483-94074	N
-0.556320638838888	0.028874288717253	3	99107	chrchr20:94075-111173	N
-0.564441417679663	-0.0701156137239933	4	118901	chrchr20:111174-127134	N
-0.684757464691991	0.0406629973083175	5	144846	chrchr20:127135-167640	N
-0.64700912319105	0.0557799130036006	6	176770	chrchr20:167641-213402	N
-0.70345832171162	0.0338697708610284	7	232754	chrchr20:213403-274163	N
-0.703911549019003	0.0220112125853848	8	290197	chrchr20:274164-301805	N
-0.681112993763436	0.0205998601949237	9	322081	chrchr20:301806-338430	N
-0.559358308863245	0.0146924296743496	10	370999	chrchr20:338431-380638	N
-0.696181361396574	0.0109709377831617	11	421443	chrchr20:380639-441257	N
-0.712874748311161	0.0161417808486176	12	465260	chrchr20:441258-494701	N
-0.710290484524277	0.0691026099892683	13	522950	chrchr20:494702-543249	N
-0.700877158172647	0.0106359090768202	14	563835	chrchr20:543250-595474	N
-0.67118414256612	-0.0140180822850662	15	614076	chrchr20:595475-638655	N
-0.640183694448304	-0.0195347694407551	16	665576	chrchr20:638656-673787	N
-0.688780455534808	-0.0138944815970152	17	687186	chrchr20:673788-710788	N
-0.699151075525831	-0.0248531849374199	18	727134	chrchr20:710789-744271	N
-0.686685207018	-0.00895559264384384	19	770376	chrchr20:744272-787782	N
-0.673015275090515	0.0289562447107468	20	813232	chrchr20:787783-881224	N
-0.713912003162811	0.0271472325146643	21	894143	chrchr20:881225-933409	N
-0.697519766403165	0.0235852090297132	22	950466	chrchr20:933410-965439	N
-0.647576853893678	0.0471131319764367	23	986064	chrchr20:965440-1005504	N
-0.655667345372162	-0.0103976164347567	24	1024010	chrchr20:1005505-1042779	N
-0.718447582612448	0.0317095612316811	25	1090101	chrchr20:1042780-1101736	N
-0.653530467997332	0.0134733489684636	26	1133987	chrchr20:1101737-1178086	N
-0.589447248786927	-0.0524421868129919	27	1207320	chrchr20:1178087-1223650	N
-0.671440277669369	0.00609233093017955	28	1231147	chrchr20:1223651-1260595	N
-0.691516165663259	0.0188259947125	29	1279164	chrchr20:1260596-1294746	N
